key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 12.443999999999999, left, 0, 1.009999999999998, 1, 0, 80, 28, 1, 79, could, 5, right, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.1460000000000008, 1, 0, 80, 30, 1, 79, should, 6, right, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.7319999999999993, 1, 0, 80, 69, 1, 79, incluting, 9, left, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 2.4659999999999975, 1, 0, 80, 6, 1, 79, for, 3, right, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5500000000000007, 1, 0, 80, 48, 1, 79, believe, 7, right, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5489999999999995, 1, 0, 80, 70, 1, 79, everything, 10, right, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.5670000000000002, 1, 0, 80, 51, 1, 79, bussness, 8, left, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9989999999999988, 1, 0, 80, 9, 1, 79, ous, 3, left, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.716000000000001, 1, 0, 80, 0, 1, 79, way, 3, right, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.597999999999999, 1, 0, 80, 3, 1, 79, anf, 3, left, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5649999999999977, 1, 0, 80, 74, 1, 79, especially, 10, right, cgh, 001, 2023-03-28_15h20.21.751, lexical_decision_task, 3.0.0b12, 60
