key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 3.605000000000002, right, 1, 5.911000000000001, 1, 0, 80, 68, 1, 79, including, 9, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.524000000000001, 1, 0, 80, 4, 1, 79, new, 3, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 4.225999999999999, 1, 0, 80, 73, 1, 79, exberience, 10, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.1560000000000024, 1, 0, 80, 11, 1, 79, wunt, 4, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 3.344000000000001, 1, 0, 80, 45, 1, 79, bedween, 7, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8759999999999977, 1, 0, 80, 42, 1, 79, country, 7, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5930000000000035, 1, 0, 80, 6, 1, 79, for, 3, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.2830000000000013, 1, 0, 80, 7, 1, 79, fot, 3, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.894999999999996, 1, 0, 80, 53, 1, 79, rememper, 8, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.845000000000006, 1, 0, 80, 20, 1, 79, their, 5, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.884999999999998, 1, 0, 80, 63, 1, 79, importent, 9, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.929000000000002, 1, 0, 80, 3, 1, 79, anf, 3, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6829999999999998, 1, 0, 80, 56, 1, 79, anything, 8, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7610000000000028, 1, 0, 80, 8, 1, 79, out, 3, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.314, 1, 0, 80, 50, 1, 79, business, 8, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 4.025999999999996, 1, 0, 80, 69, 1, 79, incluting, 9, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8780000000000001, 1, 0, 80, 64, 1, 79, political, 9, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9750000000000014, 1, 0, 80, 67, 1, 79, compunity, 9, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7460000000000022, 1, 0, 80, 46, 1, 79, company, 7, right, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9440000000000026, 1, 0, 80, 27, 1, 79, whicb, 5, left, U, 001, 2020-07-29_16h59.03.866, lexical_decision_task, 3.0.0b12, 60
