key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 9.543, left, 1, 6.7429999999999986, 1, 0, 80, 11, 1, 79, wunt, 4, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0150000000000006, 1, 0, 80, 9, 1, 79, ous, 3, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.567, 1, 0, 80, 42, 1, 79, country, 7, right, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.149000000000001, 1, 0, 80, 31, 1, 79, shoule, 6, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 3.2330000000000005, 1, 0, 80, 67, 1, 79, compunity, 9, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9329999999999963, 1, 0, 80, 7, 1, 79, fot, 3, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 2.0319999999999965, 1, 0, 80, 41, 1, 79, pregram, 7, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7659999999999982, 1, 0, 80, 38, 1, 79, system, 6, right, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9320000000000022, 1, 0, 80, 5, 1, 79, neu, 3, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.966000000000001, 1, 0, 80, 12, 1, 79, much, 4, right, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1169999999999973, 1, 0, 80, 49, 1, 79, beliefe, 7, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.200000000000003, 1, 0, 80, 50, 1, 79, business, 8, right, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8329999999999984, 1, 0, 80, 40, 1, 79, program, 7, right, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8659999999999997, 1, 0, 80, 71, 1, 79, eferything, 10, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.1499999999999986, 1, 0, 80, 79, 1, 79, bopulation, 10, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.1499999999999986, 1, 0, 80, 32, 1, 79, become, 6, right, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7989999999999995, 1, 0, 80, 56, 1, 79, anything, 8, right, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.9500000000000028, 1, 0, 80, 57, 1, 79, anythink, 8, left, gong, 001, 2022-11-10_16h43.05.770, lexical_decision_task, 3.0.0b12, 60
