key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 15.794, right, 1, 3.907, 1, 0, 80, 70, 1, 79, everything, 10, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.5330000000000013, 1, 0, 80, 60, 1, 79, different, 9, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8309999999999995, 1, 0, 80, 2, 1, 79, and, 3, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0660000000000025, 1, 0, 80, 53, 1, 79, rememper, 8, left, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7820000000000036, 1, 0, 80, 26, 1, 79, which, 5, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.948999999999998, 1, 0, 80, 37, 1, 79, secade, 6, left, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.0319999999999965, 1, 0, 80, 54, 1, 79, question, 8, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.881999999999998, 1, 0, 80, 24, 1, 79, think, 5, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8810000000000002, 1, 0, 80, 72, 1, 79, experience, 10, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.899000000000001, 1, 0, 80, 68, 1, 79, including, 9, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7169999999999987, 1, 0, 80, 34, 1, 79, factor, 6, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9709999999999965, 1, 0, 80, 59, 1, 79, pesearch, 8, left, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9370000000000047, 1, 0, 80, 20, 1, 79, their, 5, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7519999999999953, 1, 0, 80, 18, 1, 79, line, 4, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8999999999999986, 1, 0, 80, 56, 1, 79, anything, 8, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7019999999999982, 1, 0, 80, 76, 1, 79, technology, 10, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.970000000000006, 1, 0, 80, 61, 1, 79, bifferent, 9, left, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.899000000000001, 1, 0, 80, 3, 1, 79, anf, 3, left, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8850000000000051, 1, 0, 80, 71, 1, 79, eferything, 10, left, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 6.52000000000001, 1, 0, 80, 74, 1, 79, especially, 10, right, lee, 001, 2020-07-22_08h51.30.994, lexical_decision_task, 3.0.0b12, 60
