key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 7.853, left, 1, 2.1750000000000007, 1, 0, 80, 59, 1, 79, pesearch, 8, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.004999999999999, 1, 0, 80, 63, 1, 79, importent, 9, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8049999999999997, 1, 0, 80, 50, 1, 79, business, 8, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.8290000000000006, 1, 0, 80, 31, 1, 79, shoule, 6, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6549999999999976, 1, 0, 80, 25, 1, 79, thenk, 5, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7369999999999983, 1, 0, 80, 37, 1, 79, secade, 6, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.629999999999999, 1, 0, 80, 11, 1, 79, wunt, 4, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0120000000000005, 1, 0, 80, 49, 1, 79, beliefe, 7, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7550000000000026, 1, 0, 80, 48, 1, 79, believe, 7, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.071000000000005, 1, 0, 80, 58, 1, 79, research, 8, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.573999999999998, 1, 0, 80, 1, 1, 79, woy, 3, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4699999999999989, 1, 0, 80, 60, 1, 79, different, 9, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6640000000000015, 1, 0, 80, 67, 1, 79, compunity, 9, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6290000000000049, 1, 0, 80, 69, 1, 79, incluting, 9, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.6539999999999964, 1, 0, 80, 29, 1, 79, courd, 5, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.070999999999998, 1, 0, 80, 4, 1, 79, new, 3, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 2.094999999999999, 1, 0, 80, 36, 1, 79, decade, 6, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.8960000000000008, 1, 0, 80, 8, 1, 79, out, 3, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.679000000000002, 1, 0, 80, 42, 1, 79, country, 7, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5390000000000015, 1, 0, 80, 20, 1, 79, their, 5, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.4469999999999956, 1, 0, 80, 22, 1, 79, about, 5, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.480000000000004, 1, 0, 80, 32, 1, 79, become, 6, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5129999999999981, 1, 0, 80, 13, 1, 79, mech, 4, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6480000000000032, 1, 0, 80, 26, 1, 79, which, 5, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5720000000000027, 1, 0, 80, 74, 1, 79, especially, 10, right, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6129999999999924, 1, 0, 80, 41, 1, 79, pregram, 7, left, 21567839uıjkasm, 001, 2021-11-26_23h35.34.781, lexical_decision_task, 3.0.0b12, 60
